name,ingredient,instructions
Jitterbug Sour,"Straight rye whiskey 2.0 oz
Benedictine 0.5 oz
Lemon juice 0.75 oz
Honey syrup 0.5 oz
Egg white 1.0 units
Angostura bitters 1.0 oz",Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.
Jocose Julep,"Bourbon whiskey 2.5 oz
Green creme de menthe 0.5 oz
Lime juice 1.0 oz
Simple syrup 0.5 oz
Mint leaves 5.0 units
Soda water 3.0 oz",Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.
John Collins,"Bourbon whiskey 2.0 oz
Lemon juice 1.0 oz
Simple syrup 0.5 oz
Soda water 1.0 oz
Orange 1.0 units
Lemon wheels 1.0 units
Maraschino cherry 1.0 units","Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws."
Jungle Juice,"Vodka 1.0 oz
Light rum 1.0 oz
Triple sec 0.5 oz
Each cranberry juice 1.0 oz
Orange juice 1.0 oz
Pineapple juice 1.0 oz
Lemon juice 1.0 oz
Simple syrup 1.0 oz
Orange wheel 1.0 units
Maraschino cherry 1.0 units",Shake with ice and pour with ice into ice-filled Collins glass. Garnish with orange and cherry.
K. C. B. Cocktail,"Kummel 0.5 oz
Mr. boston gin 1.5 oz
Mr. boston apricot flavored brandy 0.25 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
K. G. B. Cocktail,"Kummel 0.5 oz
Gin 1.5 oz
Apricot flavored brandy 0.25 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
K.C.B. Cocktail,"Old mr. boston kummel 0.5 oz
Old mr. boston dry gin 1.5 oz
Old mr. boston apricot flavored brandy 0.25 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass. Add twist of lemon peel.
K.G.B. Cocktail,"Kummel 0.5 oz
Gin 1.5 oz
Apricot-flavored brandy 0.25 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Katana,"Cucumber 4.0 oz
Vodka 1.5 oz
Sake 0.5 oz
Lime juice 0.75 oz
Simple syrup 0.75 oz",Muddle 3 cucumber slices in mixing glass. Add remaining ingredients. Shake with ice. Double-strain into chilled cocktail glass. Garnish with cucumber slice.
Kiss the Boys Goodbye,"Sloe gin 0.75 oz
Brandy 0.75 oz
Egg white 0.5 units
Lemon juice 1.0 oz",Shake with ice and strain into cocktail glass.
Knickerbocker Special Cocktail,"Light rum 2.0 oz
Triple sec 0.5 oz
Lemon juice 1.0 oz
Orange juice 1.0 oz
Raspberry syrup 1.0 oz
Small pineapple slice 1.0 units",Shake with ice and strain into chilled cocktail glass. Garnish with pineapple.
Knock-Out Cocktail,"Anisette 0.5 oz
Gin 0.75 oz
Dry vermouth 0.75 oz
Creme de menthe (white) 1.0 oz",Stir with ice and strain into cocktail glass. Serve with a cherry.
Ko Adang,"Dark rum 2.0 oz
Coconut rum 1.0 oz
Ginger liqueur 0.5 oz
Mango nectar 0.5 oz
Cream of coconut 0.5 oz
Lime juice 0.5 oz
Lime wheels 1.0 units",Shake with ice and strain into ice-filled Collins glass. Garnish with lime.
Kretchma Cocktail,"Vodka 1.0 oz
White creme de cacao 1.0 oz
Lemon juice 0.25 oz
Grenadine 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Kup's Indispensable Cocktail,"Light vermouth 0.5 oz
Dry vermouth 0.5 oz
Gin 1.5 oz
Bitters 1.0 oz",Stir with ice and strain into cocktail glass.
L'italienne,"Vodka 2.0 oz
Lillet blanc 0.25 oz
Ramazzotti amaro 0.25 oz
Orange bitters 1.0 oz",Stir and strain into chilled cocktail glass.
L.A. Sunrise,"Vodka 1.0 oz
Creme de banana 1.0 oz
Orange juice 2.0 oz
Pineapple juice 2.0 oz
Dark rum 0.25 oz
Lime wheels 1.0 units
Maraschino cherry 1.0 units",Shake first four ingredients with ice. Strain into ice-filled hurricane or parfait glass. Float rum on top. Garnish with lime and cherry.
La Bomba,"Lime wedges 1.0 units
Superfine sugar 1.0 oz
Gold tequila 1.25 oz
Triple sec 0.75 oz
Pineapple juice 1.5 oz
Orange juice 1.5 oz
Grenadine 2.0 oz
Lime wheels 2.0 units",Rim chilled cocktail glass with lime wedge and sugar. Combine next four ingredients with ice and shake briefly. Pour with ice into glass. Add grenadine and garnish with lime wheel.
La Perla,"Reposado tequila 1.5 oz
Manzanilla sherry 1.5 oz
Pear liqueur 0.75 oz",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
La Ultima Palabra,"Blanco tequila 0.75 oz
Fresh grapefruit juice 0.75 oz
Lime juice 0.75 oz
Yellow chartreuse 0.75 oz
Maraschino liqueur 0.75 oz
Grapefruit twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
La Vita Dulce,"Spiced rum 1.5 oz
Mezcal 0.75 oz
Lime juice 0.75 oz
Simple syrup 0.75 oz
Ground cinnamon 1.0 units",Shake with ice and strain into chilled cocktail glass. Top with cinnamon.
Lady Love Fizz,"Powdered sugar 1.0 oz
Lemon juice 0.5 oz
Egg white 1.0 units
Gin 2.0 oz
Light cream 2.0 oz",Shake with ice and strain into cocktail glass over two ice cubes. Fill with carbonated water and stir.
Lasky Cocktail,"Grape juice 0.75 oz
Swedish punch 0.75 oz
Gin 0.75 oz",Shake with ice and strain into cocktail glass.
Le Paradini,"Vodka 1.5 oz
Raspberry-flavored liqueur 0.5 oz
Grand marnier 0.5 oz
Chilled champagne 1.0 oz",Shake first three ingredients with ice and strain into chilled cocktail glass. Top with Champagne.
Leap Frog Highball,"Lemon juice 0.5 oz
Gin 2.0 oz
Ginger ale 3.0 oz",Pour into highball glass over ice cubes and fill with ginger ale. Stir.
Leap Year Cocktail,"Gin 1.25 oz
Orange flavored gin 0.5 oz
Sweet vermouth 0.5 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass.
Leaves Of Grass,"Aquavit 1.5 oz
Old tom gin 0.5 oz
Demerara syrup 0.5 oz
Orange bitters 2.0 oz
Absinthe 1.0 oz
Celery stick 1.0 units",Stir with ice and strain into ice-filled old-fashioned glass. Add celery stick.
Lemon Crush,"Lemon wedges 1.0 units
Superfine sugar 1.0 oz
Citrus-flavored vodka 1.5 oz
Crema di limoncello 0.5 oz
Triple sec 0.5 oz
Lemon juice 1.0 oz",Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice and strain into glass.
Lemon Drop,"Lemon wedges 1.0 units
Superfine sugar 1.0 oz
Lemon-flavored vodka 1.5 oz
Lemon juice 0.75 oz
Simple syrup 0.25 oz",Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice. Strain into glass. Squeeze lemon wedge and add.
Lemonade (Egg),"Lemon juice 1.0 oz
Powdered sugar 2.0 oz
Egg 1.0 units",Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.
Lemonade (Golden),"Lemon juice 1.0 oz
Powdered sugar 2.0 oz
Egg yolk 1.0 units","Shake with ice and strain into collins glass. Decorate with slices of orange and lemon, and a cherry."
Level headed Cocktail,"Aged rhum agricole 1.5 oz
Cold brewed coffee 1.0 oz
Allspice liqueur (pimento dram) 0.5 oz
Simple syrup 0.25 oz
Angostura bitters 2.0 oz",Shake with ice and strain into snifter.
Lights On The Plaza,"Cucumber 4.0 oz
Lemon juice 0.5 oz
Simple syrup 0.5 oz
Acai berry flavored vodka 1.5 oz
Black raspberry liqueur 0.5 oz
Sparkling wine 1.0 oz
Raspberries 1.0 units","Muddle cucumbers, lemon juice, and syrup in mixing glass. Add vodka, raspberry liqueur, and ice and shake. Double-strain into chilled cocktail glass. Top with sparkling wine. Garnish with raspberry-cucumber skewer."
Lil Naue,"Brandy 1.0 oz
Port 0.5 oz
Apricot-flavored brandy 0.5 oz
Powdered sugar 1.0 oz
Egg yolk 1.0 units",Shake with ice and strain into wine glass. Sprinkle cinnamon on top.
Lillypad,"Blanco tequila 1.5 oz
Each lillet blanc 0.5 oz
Lillet rouge 0.5 oz
Apple juice 1.5 oz
Lime juice 0.75 oz
Agave nectar 0.25 oz
Orange wheel 1.0 units",Shake with ice and strain into chilled cocktail glass. Garnish with blood orange wheel.
Lime Giant,"Lime vodka 2.0 oz
Lemon-lime soda 3.0 oz",Put ice cubes in collins glass and add lime vodka. Fill with lemon and lime soda. Decorate with a slice of lime.
Limestone,"Bourbon 1.5 oz
Collins mix 1.0 units
Lime juice 1.0 oz","Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste."
Limey,"Light rum 1.0 oz
Lime juice 1.0 oz
Triple sec 0.5 oz
Lime juice 2.0 oz",Combine ingredients and a half-cup of crushed ice in an electric blender. Blend at low speed and pour into champagne flute. Add a twist of lime peel.
Limoncello Manzanilla Marmalade Sour,"Citrus-flavored vodka 1.5 oz
Limoncello 0.75 oz
Manzanilla sherry 0.75 oz
Lemon juice 0.75 oz
Grapefruit marmalade 1.0 oz
Orange wheel 1.0 units",Shake with ice and double-strain into chilled cocktail glass. Add orange twist.
Little Devil Cocktail,"Light rum 0.75 oz
Gin 0.75 oz
Lemon juice 0.5 oz
Triple sec 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Little Princess Cocktail,"Light rum 1.5 oz
Sweet vermouth 1.5 oz",Shake with ice and strain into chilled cocktail glass.
London Buck,"Gin 2.0 oz
Lemon juice 0.5 oz
Ginger ale 3.0 oz",Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.
London Special Cocktail,"Orange peel 1.0 units
Lump sugar 1.0 units
Bitters dashes 2.0 units",Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.
Lone Tree Cocktail,"Sweet vermouth 0.75 oz
Gin 1.5 oz",Stir with ice and strain into cocktail glass.
Long Island Iced Tea,"Vodka 0.75 oz
Blanco tequila 0.75 oz
Gin 0.75 oz
Light rum 0.75 oz
Triple sec 0.75 oz
Simple syrup 0.5 oz","Shake ingredients, except cola, with ice and pour with ice into highball glass. Add cola for color. Add lemon."
Long Island Tea,"Vodka 0.5 oz
Gin 0.5 oz
Light rum 0.5 oz
Tequila 0.5 oz
Lemon juice 0.5 oz",Combine ingredients and pour over ice in tall glass. Add a dash of cola for color. Garnish with slice of lemon.
Look Out Below,"151-proof rum 1.5 oz
Lime juice 0.5 oz
Grenadine 0.25 oz",Shake with ice and strain into ice-filled old-fashioned glass.
Los Angeles Cocktail,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Egg 1.0 units
Sweet vermouth 0.25 oz
Blended whiskey 1.5 oz",Shake with ice and strain into sour glass.
Lounge Lizard,"Dark rum 1.0 oz
Amaretto 0.5 oz
Cola 3.0 oz",Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with lime.
Love Cocktail,"Sloe gin 2.0 oz
Egg white 1.0 units
Lemon juice 0.5 oz
Raspberry juice 0.5 oz",Shake with ice and strain into cocktail glass.
Lugger,"Brandy 1.0 oz
Apple brandy 1.0 oz
Apricot flavored brandy 1.0 oz",Shake with ice and strain into cocktail glass.
Lumination,"Fresh ginger 2.0 oz
Simple syrup 1.0 oz
Dark rum 2.0 oz
Vs cognac 1.0 oz
Lemon juice 1.0 oz
Angostura bitters 1.0 oz
Lemon twist 1.0 units",Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Add lemon twist.
Lychee Lucy,"Vodka 1.5 oz
Lychee liqueur 0.5 oz
Orange juice 0.5 oz
Pineapple juice 0.5 oz
Angostura bitters 2.0 oz
Canned pitted lychee nut stuffed with a small pineapple leaf 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lycheepineapple garnish.
Madras,"Vodka 1.5 oz
Cranberry juice 4.0 oz
Orange juice 1.0 oz
Lime wedges 1.0 units",Build in order given into ice-filled highball glass. Squeeze lime and add.
Mai-Tai (Trader Vic Version),"Dark rum 2.0 oz
Orange curacao 0.5 oz
Lime juice 1.0 oz
Orgeat syrup 0.5 oz
Mint sprigs 1.0 units
Pineapple wedge 1.0 units
Rock candy syrup 0.25 oz
Maraschino cherry 1.0 units","Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry."
Mai-Tai (Trader Vic Version) with Simple syrup,"Simple syrup 0.25 oz
Dark rum 2.0 oz
Orange curacao 0.5 oz
Lime juice 1.0 oz
Orgeat syrup 0.5 oz
Mint sprigs 1.0 units
Pineapple wedge 1.0 units
Maraschino cherry 1.0 units","Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry."
Maiden's Prayer,"Gin 1.5 oz
Triple sec 0.5 oz
Lemon juice 1.0 oz",Shake with ice and strain into cocktail glass.
Malmaison,"Anisette 1.0 oz
Light rum 1.0 oz
Cream sherry 0.5 oz
Lemon juice 1.0 oz",Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.
Mamie Taylor,"Lime juice 0.5 oz
Desmond & duff scotch whisky 2.0 oz",Fill collins glass with ginger ale and ice. Stir.
Mamie's Sister,"Lime juice 1.0 oz
Gin 2.0 oz
Ginger ale 3.0 oz","Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir."
Mandarine Mist,Mandarine napoleon liqueur 1.5 oz,Pack an old-fashioned glass with finely crushed ice. Add Mandarine Napoleon Liqueur and a twist of tangerine peel. Serve with short straws.
Mandarine Sour,"Mandarine napoleon liqueur 2.0 oz
Lemon juice 1.0 oz",Shake with ice and strain into a sour glass. Decorate with a cherry and orange slice.
Mandeville,"Light rum 1.5 oz
Dark rum 1.0 oz
Lemon juice 0.5 oz
Anisette 1.0 oz
Grenadine 1.0 oz",Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.
Manhattan Cocktail (dry),"Dry vermouth 0.75 oz
Old thompson blended whiskey 1.5 oz",Stir with ice and strain into cocktail glass. Serve with an olive.
Manila Fizz,"Gin 2.0 oz
Egg 1.0 units
Powdered sugar 1.0 oz
Root beer 2.0 oz
Lime juice 0.5 oz",Lemon Shake with ice and strain into highball glass over two ice cubes.
Maracuya Mosquito,"Basil leaves 4.0 units
Vodka 1.5 oz
Green chartreuse 0.5 oz
Lime juice 0.5 oz
Simple syrup 0.5 oz
Passion fruit juice 1.0 oz
Basil leaves 1.0 units",Muddle 4 basil leaves in mixing glass. Add remaining ingredients. Shake with ice. Double-strain through wire sieve into crushed ice- filled Collins glass. Garnish with a basil leaf.
Margarita,"Blanco tequila 1.5 oz
Lime juice 0.75 oz
Cointreau 0.75 oz",Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.
Margarita with Triple sec,"Triple sec 0.75 oz
Blanco tequila 1.5 oz
Lime juice 0.75 oz",Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.
Margarita Cocktail,"Old mr. boston tequila 1.5 oz
Old mr. boston triple sec 0.5 oz
Lemon 1.0 units","Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. "
Margarita Cocktail with Lime juice,"Lime juice 1.0 oz
Old mr. boston tequila 1.5 oz
Old mr. boston triple sec 0.5 oz","Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. "
Margarita Tequila,"Lime wedges 1.0 units
Coarse salt 1.0 oz
Blanco tequila 1.5 oz
Cointreau triple sec 0.75 oz
Lime juice 0.75 oz",Rim chilled cocktail glass with lime and salt. Shake remaining ingredients and ice and strain into glass.
Mariposa,"Light rum 1.0 oz
Brandy 0.5 oz
Lemon juice 0.5 oz
Orange juice 0.5 oz
Grenadine 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Mariposa Cocktail,"Old mr. boston rum 1.0 oz
Old mr. boston five star brandy 0.5 oz
Lemon juice 1.0 oz
Orange juice 1.0 oz
Grenadine 1.0 oz",Shake with ice and strain into cocktail glass.
Martini,"Mr. boston gin 1.5 oz
Dry vermouth 0.75 oz",serve with an olive. 
Martini (Dry) (5-to-1),"Gin 1.666666667 oz
Dry vermouth 0.333333333 oz",Follow directions for Martini preparation.
Martini (Medium),"Gin 1.5 oz
Dry vermouth 0.5 oz
Sweet vermouth 0.5 oz",Follow directions for Martini preparation.
Martinique Rose,"Aged rhum agricole 2.0 oz
Amaretto 0.5 oz
Lime juice 0.75 oz
Grapefruit juice 0.75 oz
Orgeat 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Martinique Rose with Almond syrup,"Almond syrup 0.5 oz
Aged rhum agricole 2.0 oz
Amaretto 0.5 oz
Lime juice 0.75 oz
Grapefruit juice 0.75 oz",Shake with ice and strain into chilled cocktail glass.
Mary Garden Cocktail,"Dubonnet 1.5 oz
Dry vermouth 0.75 oz",Stir with ice and strain into cocktail glass.
Mary Pickford Cocktail,"Light rum 1.5 oz
Pineapple juice 0.75 oz
Maraschino liqueur 0.25 oz
Grenadine 0.25 oz",Shake with ice and strain into chilled cocktail glass.
May Blossom Fizz,"Grenadine 1.0 oz
Lemon juice 0.5 oz
Swedish punch 2.0 oz",Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
May Blosson Fizz,"Grenadine 1.0 oz
Lemon juice 0.5 oz
Swedish punch 2.0 oz",Shake well with cracked ice and strain into 7 oz. highball glass. Fill with carbonated water and stir.
Melon Cocktail,"Gin 2.0 oz
Lemon juice 0.25 oz
Maraschino 0.25 oz",Shake with ice and strain into cocktail glass. Serve with a cherry.
Merry Widow Cocktail No. 2,"Maraschino 1.25 oz
Cherry-flavored brandy 1.25 oz",Stir with ice and strain into cocktail glass. Serve with a cherry.
Merry Widow Fizz,"Juice of orange 0.5 oz
Lemon juice 0.5 oz
Egg white 1.0 units
Powdered sugar 1.0 oz
Sloe gin 1.5 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Mexican Firing Squad,"Blanco tequila 2.0 oz
Simple syrup 1.0 oz
Lime juice 0.75 oz
Pomegranate molasses (available at middle eastern grocers) 1.0 oz
Angostura bitters 2.0 oz
Lime wheels 1.0 units",Shake and strain into ice-filled highball glass. Garnish with lime.
Mexican Madras,"Blanco tequila 1.5 oz
Cranberry juice 2.0 oz
Orange juice 1.0 oz
Lime juice 0.25 oz
Orange wheel 1.0 units",Shake with ice and strain into old-fashioned glass. Garnish with orange.
Mexican Monk,"Reposado tequila 2.0 oz
Dry sherry 0.5 oz
Coffee liqueur 0.25 oz
Benedictine 0.25 oz
Lemon twist 1.0 units",Stir well with ice and strain into chilled cocktail glass. Add lemon twist.
Mexicana,"Blanco tequila 0.5 oz
Lemon juice 1.0 oz
Pineapple juice 0.5 oz
Grenadine 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Mexicola,"Blanco tequila 2.0 oz
Lime juice 0.5 oz",Pour tequila and lime juice into ice-filled Collins glass. Fill with cola and stir.
Midnight Express,"Dark rum 1.5 oz
Triple sec 0.5 oz
Lime juice 0.75 oz
Lemon juice 0.25 oz
Simple syrup 0.25 oz",Shake with ice and pour into ice-filled old-fashioned glass.
Milk Punch,"Powdered sugar 1.0 oz
Blended whiskey 2.0 oz
Milk 1.0 oz",Shake with ice and strain into collins glass. Sprinkle nutmeg on top.
Million-Dollar Cocktail,"Pineapple juice 2.0 oz
Grenadine 1.0 oz
Egg white 1.0 units
Sweet vermouth 0.75 oz
Gin 1.5 oz",Shake with ice and strain into cocktail glass.
Millionaire Cocktail,"Egg white 1.0 units
Grenadine 0.25 oz
Triple sec 0.5 oz
Blended whiskey 1.5 oz",Shake with ice and strain into cocktail glass.
Minnehaha Cocktail,"Juice of orange 0.25 oz
Dry vermouth 0.5 oz
Sweet vermouth 0.5 oz
Old mr. boston dry gin 1.0 oz",Shake well with cracked ice and strain into 4 oz. cocktail glass.
Mint Collins,"Lemon juice 0.5 oz
Mint-flavored gin 2.0 oz","Shake with ice and strain into collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of lemon and orange, and a cherry. Serve with straws."
Mint Gin Cocktail,"Mint-flavored gin 1.0 oz
White port wine 1.0 oz
Dry vermouth 1.5 oz",Stir with ice and strain into cocktail glass.
Mint Julep (Southern Style),"Mint sprigs 5.0 units
Powdered sugar 1.0 oz
Bourbon 2.5 oz","In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Decorate with sprigs of fresh mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste."
Miss Jones,"Vanilla-flavored vodka 1.5 oz
Lemon juice 1.0 oz
Butterscotch schnapps 0.5 oz
Limoncello 0.5 oz",Shake with ice and strain into chilled cocktail glass. Garnish with star anise.
Mocha Express,"Vodka 1.5 oz
Irish cream liqueur 0.75 oz
Coffee liqueur 0.75 oz
Cold brewed espresso coffee 0.75 oz",Shake with ice and strain into chilled cocktail glass.
Mojito,"Lime wedges 3.0 units
Mint leaves 7.0 units
Simple syrup 0.75 oz
Light rum 2.0 oz
Soda water 3.0 oz
Mint sprigs 1.0 units","Muddle the limes, mint, and syrup in a Collins glass. Add the rum with ice and stir well. Top with soda water. Garnish with mint."
Monkey Wrench,"Light rum 1.5 oz
Grapefruit juice 1.0 oz",Pour rum into ice-filled Collins glass. Fill with grapefruit juice and stir.
Monte Carlo Imperial Highball,"Gin 2.0 oz
White creme de menthe 0.5 oz
Lemon juice 0.25 oz
Chilled champagne 2.0 oz",Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.
Montezuma,"Tequila 1.5 oz
Madeira 1.0 oz
Egg yolk 1.0 units
Crushed ice 0.5 oz",Mix in blender at low speed and serve in champagne flute.
Montreal Club Bouncer,"Gin 1.5 oz
Anisette 0.5 oz",Pour into old-fashioned glass over ice cubes. Stir.
Montreal Gin Sour,"Gin 1.0 oz
Lemon juice 1.0 oz
Egg white 0.5 units
Powdered sugar 1.0 oz",Shake with ice and strain into sour glass. Add a slice of lemon.
Moonquake Shake,"Dark rum 1.5 oz
Coffee-flavored brandy 1.0 oz
Lemon juice 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Morning Glory Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Egg white 1.0 units
Anis 0.5 oz
Scotch 2.0 oz",Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Moscow Mule,"Vodka 1.5 oz
Lime juice 0.5 oz
Ginger beer 3.0 oz
Lime wedges 1.0 units",Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime wedge and add to glass.
Moulin Rouge Cocktail,"Old mr. boston sloe gin 1.5 oz
Sweet vermouth 0.75 oz
Bitters 1.0 oz",Stir with ice and strain cocktail glass.
Mountain Cocktail,"Egg white 1.0 units
Lemon juice 0.25 oz
Dry vermouth 0.25 oz
Sweet vermouth 0.25 oz
Blended whiskey 1.5 oz",Shake with ice and strain into cocktail glass.
Mr. 404,"Vodka 1.5 oz
Elderflower liqueur 0.75 oz
Lemon juice 0.75 oz
Simple syrup 0.5 oz
Aperol 0.5 oz
Orange wheel 1.0 units",Shake with ice and strain into chilled cocktail glass. Add orange twist.
Napoleon,"Gin 2.0 oz
Curacao 0.5 oz
Dubonnet 0.5 oz",Stir with ice and strain into cocktail glass.
Napoleon Cocktail,"Old mr. boston dry gin 2.0 oz
Curacao 0.5 oz
Dubonnet 0.5 oz",Stir with ice and strain into cocktail glass.
Nevada Cocktail,"Light rum 1.5 oz
Grapefruit juice 1.0 oz
Lime juice 0.75 oz
Simple syrup 0.75 oz
Angostura bitters 1.0 oz",Shake with ice and strain into chilled cocktail glass.
New Orleans Buck,"Light rum 1.5 oz
Orange juice 1.0 oz
Lemon juice 0.5 oz",Shake first three ingredients with ice and strain into ice-filled Collins glass. Fill with ginger ale and stir.
New Orleans Gin Fizz,"Lemon juice 0.5 oz
Lime juice 0.5 oz
Powdered sugar 1.0 oz
Egg white 1.0 units
Gin 2.0 oz
Light cream 0.5 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Night Cap,"Light rum 2.0 oz
Simple syrup 0.5 oz
Warm milk 1.0 units","Pour rum and syrup in prewarmed Irish coffee glass, fill with warm milk, and stir. Top with nutmeg."
Nijinksy Blini,"Vodka 1.0 oz
Peach schnapps 1.0 oz
Peach puree 1.0 oz
Lemon juice 0.25 oz",Shake first four ingredients with ice. Strain into chilled champagne flute and top with Champagne.
Nineteenth Hole,"Gin 1.5 oz
Dry vermouth 1.0 oz
Sweet vermouth 1.0 oz
Bitters 1.0 oz",Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.
Ninotchka Cocktail,"Vodka 1.5 oz
White creme de cacao 0.5 oz
Lemon juice 0.25 oz",Shake with ice and strain into chilled cocktail glass.
No. 8,"Reposado tequila 2.0 oz
Honey liqueur 0.5 oz
Orange bitters 2.0 oz
Lemon twist 1.0 units
Palo cortado 0.75 oz",Stir with ice and strain into chilled cocktail glass. Garnish with lemon twist.
No. 8 with Oloroso sherry,"Oloroso sherry 0.75 oz
Reposado tequila 2.0 oz
Honey liqueur 0.5 oz
Orange bitters 2.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled cocktail glass. Garnish with lemon twist.
North Pole Cocktail,"Egg white 1.0 units
Lemon juice 0.5 oz
Maraschino 0.5 oz
Gin 1.0 oz",Shake with ice and strain into cocktail glass. Top with whipped cream.
"Oh, Gosh!","Light rum 1.5 oz
Triple sec 1.5 oz
Lime juice 1.0 oz",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Oldest Temptation,"Anejo tequila 2.0 oz
Apple juice 1.0 oz
Lemon juice 0.5 oz
Triple sec 0.5 oz
Simple syrup 0.25 oz
Angostura bitters 1.0 oz
Flamed lemon twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Flame lemon twist and add.
Opening Cocktail,"Grenadine 0.5 oz
Sweet vermouth 0.5 oz
Blended whiskey 1.5 oz",Stir with ice and strain into cocktail glass.
Opera Cocktail,"Maraschino 1.0 oz
Dubonnet 0.5 oz
Gin 1.5 oz",Stir with ice and strain into cocktail glass.
Orange Blossom Cocktail,"Old mr. boston dry gin 1.0 oz
Orange juice 1.0 oz
Powdered sugar 0.25 oz",Shake with ice and strain into cocktail glass.
Orange Gin Collins,"Lemon juice 0.5 oz
Old mr. boston orange flavored gin 2.0 oz","Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws."
Orange Gin Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Old mr. boston orange flavored gin 2.0 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Orange Gin Highball,"Old mr. boston orange flavored gin 2.0 oz
Ginger ale 3.0 oz
Lemon twist 1.0 units","Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir."
Orange Gin Rickey,"Lime juice 0.5 oz
Old mr. boston orange flavored gin 2.0 oz",Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.
Orange Milk Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Old mr. boston orange flavored gin 2.0 oz
Milk 2.0 oz",Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.
Orange Smile,"Egg 1.0 units
Juice of orange 1.0 oz
Grenadine 1.0 oz",Shake with ice and strain into stem goblet.
